GENDER,STRATUM,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,PROMEDIO
M,Stratum 2,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,PUBLIC,ACADEMIC,46,41,42,42,45,43
F,Stratum 1,No,No,No,No,No,No,No,No,No,No,PUBLIC,ACADEMIC,45,41,45,50,48,46
M,Stratum 2,No,Yes,No,Yes,No,No,No,Yes,Yes,No,PUBLIC,ACADEMIC,58,47,53,48,41,47
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,79,70,68,80,78,74
M,Stratum 2,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,52,39,40,50,43,43
M,Stratum 1,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,PRIVATE,ACADEMIC,49,50,53,47,45,49
M,Stratum 1,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,PUBLIC,ACADEMIC,51,59,59,55,50,56
M,Stratum 2,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PUBLIC,ACADEMIC,35,36,45,50,45,44
M,Stratum 1,No,Yes,Yes,No,No,No,No,Yes,Yes,No,PRIVATE,ACADEMIC,74,55,55,64,60,59
M,Stratum 1,No,No,No,Yes,No,No,No,Yes,Yes,No,PUBLIC,ACADEMIC,57,48,50,53,52,51
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,85,79,77,82,78,79
M,Stratum 3,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,PUBLIC,TECHNICAL,59,41,53,65,41,50
M,Stratum 2,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,PUBLIC,TECHNICAL,45,58,48,47,49,51
F,Stratum 3,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL,51,48,48,43,46,46
M,Stratum 3,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,PRIVATE,ACADEMIC,78,62,57,66,60,61
F,Stratum 2,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,46,54,48,44,46,48
F,Stratum 2,No,No,No,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,52,59,66,63,60,62
M,Stratum 2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,52,52,46,56,49,51
F,Stratum 1,No,No,No,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,56,45,48,56,40,47
F,Stratum 1,No,No,No,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,47,44,40,56,43,46
F,Stratum 1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,42,36,42,42,41,40
M,Stratum 2,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,PRIVATE,ACADEMIC,61,57,53,55,50,54
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,64,54,53,53,49,52
F,Stratum 1,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,61,52,50,61,54,54
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,70,60,68,71,48,62
F,Stratum 1,No,No,No,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,60,50,46,45,40,45
F,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,57,47,47,54,55,51
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,53,46,47,50,42,46
F,Stratum 1,No,No,No,No,No,No,No,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,59,45,47,42,41,44
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,60,55,51,59,50,54
M,Stratum 2,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,59,59,64,68,53,61
M,Stratum 2,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,53,51,51,54,57,53
F,Stratum 2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,36,44,43,44,40,43
M,Stratum 1,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,43,52,52,48,41,48
M,Stratum 1,No,No,No,Yes,No,No,Yes,No,Yes,No,PUBLIC,ACADEMIC,50,45,55,54,50,51
M,Stratum 2,No,Yes,No,Yes,No,No,No,No,Yes,No,PRIVATE,ACADEMIC,49,49,52,47,43,48
F,Stratum 3,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,67,64,55,71,65,64
F,Stratum 2,No,Yes,No,No,No,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,68,60,62,65,76,66
F,Stratum 2,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,44,55,42,52,45,49
M,Stratum 2,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,47,52,50,55,55,53
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,60,74,72,65,62,68
F,Stratum 2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,52,47,53,50,55,51
M,Stratum 2,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,59,64,69,71,67,68
M,Stratum 2,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,54,49,45,48,65,52
F,Stratum 2,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,57,55,64,64,48,58
F,Stratum 1,No,No,No,No,Yes,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL,54,64,66,59,49,60
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,58,67,66,60,76,67
M,Stratum 3,No,No,No,Yes,No,No,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,62,68,62,61,50,60
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,56,68,77,63,73,70
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,56,53,69,57,57,59
F,Stratum 3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,60,64,61,61,64,63
M,Stratum 4,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,74,59,51,71,71,63
M,Stratum 4,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,PRIVATE,ACADEMIC,64,58,66,61,68,63
M,Stratum 1,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,68,50,42,58,53,51
M,Stratum 1,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,79,64,62,69,60,64
M,Stratum 1,No,Yes,No,No,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,77,68,64,81,73,72
F,Stratum 4,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,PRIVATE,TECHNICAL,50,52,50,53,52,52
M,Stratum 3,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,50,45,53,59,80,59
M,Stratum 2,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,64,48,53,67,58,57
F,Stratum 3,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PUBLIC,ACADEMIC,64,74,64,72,52,66
F,Stratum 1,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PUBLIC,ACADEMIC,61,62,60,62,59,61
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PUBLIC,ACADEMIC,47,57,55,51,57,55
M,Stratum 1,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL,64,57,66,72,73,67
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,44,54,44,54,49,50
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,54,51,53,55,58,54
M,Stratum 2,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,65,62,58,66,71,64
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,57,60,60,62,65,62
F,Stratum 3,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,PUBLIC,ACADEMIC,58,54,59,55,50,55
M,Stratum 2,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,PUBLIC,ACADEMIC,52,53,52,50,55,53
M,Stratum 2,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,52,54,53,56,48,53
M,Stratum 3,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,72,71,57,71,76,69
M,Stratum 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,59,54,52,67,52,56
M,Stratum 1,No,No,No,No,No,No,No,Yes,Yes,No,PUBLIC,ACADEMIC,72,62,66,72,49,62
M,Stratum 1,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,52,46,48,50,42,47
F,Stratum 3,No,No,No,No,No,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,53,52,57,48,54,53
F,Stratum 2,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,PUBLIC,TECHNICAL,59,58,52,64,73,62
M,Stratum 1,No,No,No,No,No,No,No,No,Yes,No,PUBLIC,ACADEMIC,58,57,53,56,52,55
F,Stratum 2,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,64,51,51,60,53,54
F,Stratum 3,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,44,59,51,45,52,52
F,Stratum 1,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,49,51,56,40,52,50
M,Stratum 2,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,43,36,38,58,43,44
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,54,51,53,58,46,52
F,Stratum 2,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,55,54,47,51,49,50
M,Stratum 2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,52,41,42,46,53,46
M,Stratum 1,No,No,No,No,No,No,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,43,36,32,43,60,43
M,Stratum 1,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,PRIVATE,ACADEMIC,56,44,45,53,52,49
M,Stratum 1,No,No,No,No,No,No,No,Yes,Yes,No,PUBLIC,TECHNICAL,44,40,30,37,46,38
M,Stratum 2,No,Yes,No,Yes,No,No,No,Yes,Yes,No,PUBLIC,TECHNICAL,42,45,53,42,43,46
M,Stratum 1,No,No,Yes,Yes,No,No,No,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,39,36,44,34,41,39
M,Stratum 1,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,69,64,53,65,59,60
M,Stratum 1,No,No,No,No,No,No,No,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,70,85,61,68,64,70
M,Stratum 1,No,No,No,No,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,66,67,68,61,53,62
F,Stratum 2,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,47,46,51,45,43,46
M,Stratum 2,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,89,72,74,80,76,76
M,Stratum 2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,71,62,63,75,62,66
F,Stratum 1,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL,59,66,65,56,80,67
F,Stratum 1,No,No,No,No,No,No,No,No,Yes,No,PUBLIC,TECHNICAL,62,67,64,68,50,62
M,Stratum 2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL,66,53,61,61,49,56
F,Stratum 1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL,54,53,53,58,39,51
F,Stratum 1,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,PUBLIC,TECHNICAL,55,56,62,59,49,57
F,Stratum 1,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,44,51,44,47,35,44
F,Stratum 1,No,No,No,No,No,No,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,55,64,66,58,57,61
M,Stratum 3,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,60,64,61,62,68,64
F,Stratum 2,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,52,49,56,50,57,53
M,Stratum 3,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,65,64,61,81,60,67
M,Stratum 2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,65,62,64,71,46,61
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,68,56,62,67,64,62
M,Stratum 3,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,83,60,59,80,67,67
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,53,62,66,73,67,67
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,47,38,40,40,54,43
F,Stratum 3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,60,77,72,66,62,69
F,Stratum 1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,39,62,58,61,45,57
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,62,46,50,55,45,49
F,Stratum 1,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,41,46,59,53,40,50
F,Stratum 2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,68,56,50,62,58,57
M,Stratum 3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,85,60,66,82,60,67
F,Stratum 1,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,51,64,59,64,68,64
M,Stratum 3,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,64,64,66,61,50,60
F,Stratum 6,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,53,76,83,64,46,67
M,Stratum 1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,51,48,48,48,52,49
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,50,59,52,50,48,52
M,Stratum 2,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,72,64,64,73,57,65
M,Stratum 3,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,PRIVATE,ACADEMIC,54,38,38,44,42,41
F,Stratum 3,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,48,66,65,50,57,60
F,Stratum 2,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,77,79,66,72,100,79
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,61,54,66,64,52,59
M,Stratum 2,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,62,57,59,59,48,56
M,Stratum 1,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,59,46,45,50,46,47
M,Stratum 3,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,59,47,47,50,49,48
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,77,67,66,80,82,74
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,54,53,59,67,62,60
M,Stratum 3,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,60,62,61,61,70,64
F,Stratum 2,No,No,No,No,No,No,No,Yes,Yes,No,PUBLIC,ACADEMIC,50,51,47,58,57,53
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,94,72,69,79,75,74
M,Stratum 3,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,50,57,52,46,53,52
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,50,48,52,61,52,53
M,Stratum 2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,65,50,55,61,52,55
M,Stratum 2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,38,54,53,50,50,52
M,Stratum 3,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,64,52,55,58,53,55
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,60,68,57,53,52,58
M,Stratum 2,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,58,59,64,63,52,60
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,60,79,72,67,58,69
F,Stratum 4,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,50,52,52,48,60,53
M,Stratum 2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,54,55,48,51,48,51
F,Stratum 3,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PUBLIC,ACADEMIC,59,67,59,51,73,63
M,Stratum 2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,53,52,53,58,48,53
M,Stratum 1,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,58,53,40,61,44,50
F,Stratum 2,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,PUBLIC,TECHNICAL/ACADEMIC,68,48,51,58,53,53
F,Stratum 3,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,PRIVATE,ACADEMIC,56,62,58,63,50,58
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,PRIVATE,ACADEMIC,84,74,81,79,82,79
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,61,62,66,72,59,65
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,55,52,65,55,52,56
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,77,87,76,82,76,80
M,Stratum 3,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,43,36,47,45,49,44
M,Stratum 1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,43,48,47,48,52,49
M,Stratum 1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,64,58,65,59,48,58
M,Stratum 3,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,52,49,48,50,54,50
M,Stratum 3,No,No,No,No,No,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,64,60,71,59,60,63
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,62,60,64,71,76,68
M,Stratum 2,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,52,46,42,51,42,45
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,56,46,49,45,42,46
M,Stratum 4,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,66,56,65,67,63,63
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,66,62,62,74,82,70
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,66,64,69,67,60,65
M,Stratum 3,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,70,60,58,61,50,57
M,Stratum 3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,62,57,60,65,64,62
F,Stratum 3,No,No,No,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,50,54,50,50,53,52
M,Stratum 1,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,42,49,56,44,55,51
M,Stratum 3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,59,58,56,56,50,55
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PRIVATE,Not apply,57,52,65,54,63,59
M,Stratum 2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,53,52,53,55,38,50
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PUBLIC,ACADEMIC,62,67,72,75,71,71
M,Stratum 3,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,52,54,59,55,58,57
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,61,60,57,75,41,58
F,Stratum 3,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,PRIVATE,TECHNICAL,77,57,66,68,57,62
M,Stratum 2,No,Yes,No,No,No,No,No,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,85,62,66,74,60,66
M,Stratum 2,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,56,48,53,45,52,50
F,Stratum 4,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,45,62,57,50,48,54
F,Stratum 2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,71,74,56,68,55,63
F,Stratum 3,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,51,53,45,50,49,49
M,Stratum 2,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,59,47,53,59,46,51
M,Stratum 1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,66,50,57,61,46,54
M,Stratum 2,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,39,45,50,42,37,44
F,Stratum 3,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,64,67,74,69,70,70
M,Stratum 1,No,No,Yes,No,No,No,No,Yes,Yes,No,PUBLIC,ACADEMIC,56,45,50,51,45,48
F,Stratum 2,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL/ACADEMIC,51,55,53,61,44,53
M,Stratum 2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,79,62,64,72,52,63
M,Stratum 1,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,45,35,51,42,44,43
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,76,72,56,75,68,68
M,Stratum 1,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,59,58,62,60,41,55
